#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
karp_07815           -          TPR_1                PF00515.32   6.8e-91  294.8  94.2   2.9e-09   36.4   2.0  12.6  12   1   0  12  12  12  12 -
ut176_02445          -          TPR_1                PF00515.32   2.7e-89  289.7  77.1   2.5e-10   39.8   1.0  11.1  11   0   0  11  11  11  11 -
ut176_01130          -          TPR_1                PF00515.32     2e-87  283.8  88.5   1.1e-09   37.8   2.8  10.1  10   0   0  10  10  10  10 -
karp_01040           -          TPR_1                PF00515.32   1.1e-86  281.4  75.0   1.1e-08   34.5   0.3  13.9  12   1   0  13  13  13  13 -
ut176_08880          -          TPR_1                PF00515.32   1.4e-85  278.0  62.4   7.1e-09   35.2   1.6  12.1  12   0   0  12  12  12  12 -
gilliam_07410        -          TPR_1                PF00515.32   2.3e-84  274.1  77.7   2.1e-09   36.8   0.8  11.1  11   0   0  11  11  11  11 -
karp_03465           -          TPR_1                PF00515.32   2.5e-82  267.7  88.0   1.4e-09   37.4   1.2  11.1  11   0   0  11  11  11  11 -
karp_10465           -          TPR_1                PF00515.32   2.5e-82  267.7  88.0   1.4e-09   37.4   1.2  11.1  11   0   0  11  11  11  11 -
ta686_07620          -          TPR_1                PF00515.32   1.3e-79  259.1  59.2   1.9e-09   37.0   1.0  11.2  11   0   0  11  11  11  11 -
karp_04940           -          TPR_1                PF00515.32   3.8e-78  254.4  57.7     6e-09   35.4   0.7  11.2  11   0   0  11  11  11  11 -
karp_07160           -          TPR_1                PF00515.32   3.8e-78  254.4  57.7     6e-09   35.4   0.7  11.2  11   0   0  11  11  11  11 -
karp_07740           -          TPR_1                PF00515.32   3.8e-78  254.4  57.7     6e-09   35.4   0.7  11.2  11   0   0  11  11  11  11 -
karp_08445           -          TPR_1                PF00515.32   3.8e-78  254.4  57.7     6e-09   35.4   0.7  11.2  11   0   0  11  11  11  11 -
ut176_08060          -          TPR_1                PF00515.32   4.1e-78  254.3  57.5     6e-09   35.4   0.7  11.2  11   0   0  11  11  11  11 -
ut76_00890           -          TPR_1                PF00515.32   1.5e-76  249.4  61.4   1.4e-08   34.2   0.7  10.0  10   0   0  10  10  10  10 -
ut76_11135           -          TPR_1                PF00515.32   1.6e-76  249.3  61.6   4.1e-08   32.8   0.4  11.3  11   0   0  11  11  11  11 -
ut176_09885          -          TPR_1                PF00515.32   3.6e-76  248.2  94.1   1.4e-07   31.1   0.2  12.2  12   0   0  12  12  12  12 -
ut176_07345          -          TPR_1                PF00515.32   5.4e-76  247.6  69.2   2.2e-10   40.0   1.0  10.2  10   0   0  10  10  10  10 -
gilliam_04155        -          TPR_1                PF00515.32   5.5e-76  247.6  63.6   1.4e-08   34.2   0.7  10.0  10   0   0  10  10  10  10 -
ikeda_09470          -          TPR_1                PF00515.32   5.7e-76  247.6  64.1   1.2e-08   34.5   0.6  10.0  10   0   0  10  10  10  10 -
gilliam_07975        -          TPR_1                PF00515.32   6.5e-76  247.4  62.2   1.4e-08   34.2   0.7  10.0  10   0   0  10  10  10  10 -
ta686_08005          -          TPR_1                PF00515.32   1.1e-73  240.3  86.0     4e-10   39.1   3.4  10.7  10   1   0  10  10  10  10 -
karp_02650           -          TPR_1                PF00515.32   5.9e-73  238.0  63.2   1.4e-08   34.2   0.7  10.1  10   0   0  10  10  10  10 -
kato_06230           -          TPR_1                PF00515.32   5.9e-73  238.0  63.2   1.4e-08   34.2   0.7  10.1  10   0   0  10  10  10  10 -
ut76_01455           -          TPR_1                PF00515.32   5.9e-73  238.0  63.2   1.4e-08   34.2   0.7  10.1  10   0   0  10  10  10  10 -
gilliam_04405        -          TPR_1                PF00515.32   1.3e-70  230.6  52.5   4.2e-09   35.9   0.5  10.1  10   0   0  10  10  10  10 -
ut76_10340           -          TPR_1                PF00515.32   3.4e-70  229.3  55.4   1.2e-08   34.5   0.5  11.0  11   0   0  11  11  11  10 -
ta686_02130          -          TPR_1                PF00515.32   6.9e-70  228.3  48.3   1.5e-09   37.3   1.0   9.2   9   0   0   9   9   9   9 -
kato_10180           -          TPR_1                PF00515.32   1.6e-69  227.2  54.3     1e-09   37.8   2.3   8.1   8   0   0   8   8   8   8 -
ut176_05280          -          TPR_1                PF00515.32   2.7e-69  226.4  48.3   5.5e-11   41.9   3.0   7.1   7   0   0   7   7   7   7 -
kato_10250           -          TPR_1                PF00515.32   1.8e-68  223.8  52.3   9.9e-12   44.2   1.6   7.2   7   0   0   7   7   7   7 -
kato_08500           -          TPR_1                PF00515.32   7.7e-67  218.7  54.9   9.9e-12   44.2   1.6   7.2   7   0   0   7   7   7   7 -
ut76_01270           -          TPR_1                PF00515.32     1e-66  218.3  47.6   8.7e-09   34.9   0.5   9.3   9   0   0   9   9   9   9 -
karp_12355           -          TPR_1                PF00515.32   2.3e-66  217.1  45.1   1.9e-09   37.0   0.2   9.3   9   0   0   9   9   9   9 -
ikeda_10400          -          TPR_1                PF00515.32   4.8e-66  216.1  41.3   1.8e-08   33.9   0.5   9.2   9   0   0   9   9   9   9 -
boryong_11315        -          TPR_1                PF00515.32   5.9e-66  215.9  45.1   6.2e-09   35.4   0.2   9.2   9   0   0   9   9   9   9 -
karp_03595           -          TPR_1                PF00515.32   8.5e-66  215.4  55.7   3.8e-08   32.9   0.4  10.3  10   0   0  10  10  10  10 -
karp_02695           -          TPR_1                PF00515.32   1.1e-64  211.8  48.1   2.3e-08   33.6   0.3   9.2   9   0   0   9   9   9   9 -
karp_07785           -          TPR_1                PF00515.32   1.1e-64  211.8  48.1   2.3e-08   33.6   0.3   9.2   9   0   0   9   9   9   9 -
karp_04985           -          TPR_1                PF00515.32   2.4e-64  210.7  48.2   2.3e-08   33.6   0.3   9.2   9   0   0   9   9   9   9 -
ut76_09590           -          TPR_1                PF00515.32   2.9e-64  210.5  43.2   5.1e-08   32.5   0.2   9.2   9   0   0   9   9   9   9 -
ta686_02410          -          TPR_1                PF00515.32     3e-64  210.5  43.0   1.9e-09   37.0   0.2   9.4   9   0   0   9   9   9   9 -
kato_10885           -          TPR_1                PF00515.32   6.3e-64  209.4  42.9   5.2e-08   32.4   0.2   9.2   9   0   0   9   9   9   9 -
gilliam_12380        -          TPR_1                PF00515.32   8.4e-64  209.0  49.2   7.2e-09   35.2   0.3   9.2   9   0   0   9   9   9   9 -
karp_00485           -          TPR_1                PF00515.32     9e-64  208.9  61.5   2.9e-08   33.3   0.8  11.7   7   2   1  10  10  10  10 -
karp_07475           -          TPR_1                PF00515.32     9e-64  208.9  61.5   2.9e-08   33.3   0.8  11.7   7   2   1  10  10  10  10 -
karp_08590           -          TPR_1                PF00515.32   1.1e-63  208.7  50.9     2e-09   36.9   0.5   9.2   9   0   0   9   9   9   9 -
ta686_11120          -          TPR_1                PF00515.32   1.2e-63  208.5  43.3   1.8e-08   33.9   0.5   9.2   9   0   0   9   9   9   9 -
ta686_12490          -          TPR_1                PF00515.32   1.2e-63  208.5  43.3   1.8e-08   33.9   0.5   9.2   9   0   0   9   9   9   9 -
karp_06560           -          TPR_1                PF00515.32   1.5e-63  208.2  53.3   7.5e-10   38.3   0.2   9.2   9   0   0   9   9   9   9 -
gilliam_02265        -          TPR_1                PF00515.32   1.9e-63  207.9  46.7   8.8e-09   34.9   0.5   9.5   9   0   0   9   9   9   8 -
gilliam_03310        -          TPR_1                PF00515.32   1.9e-63  207.9  46.7   8.8e-09   34.9   0.5   9.5   9   0   0   9   9   9   8 -
gilliam_08775        -          TPR_1                PF00515.32   1.9e-63  207.9  46.7   8.8e-09   34.9   0.5   9.5   9   0   0   9   9   9   8 -
gilliam_12840        -          TPR_1                PF00515.32   1.9e-63  207.9  46.7   8.8e-09   34.9   0.5   9.5   9   0   0   9   9   9   8 -
gilliam_01525        -          TPR_1                PF00515.32   3.6e-63  207.1  42.6   2.3e-08   33.6   0.3   9.2   9   0   0   9   9   9   9 -
gilliam_01700        -          TPR_1                PF00515.32   3.6e-63  207.1  42.6   2.3e-08   33.6   0.3   9.2   9   0   0   9   9   9   9 -
gilliam_10090        -          TPR_1                PF00515.32   3.6e-63  207.1  42.6   2.3e-08   33.6   0.3   9.2   9   0   0   9   9   9   9 -
ut176_08005          -          TPR_1                PF00515.32   4.1e-63  206.9  49.8   1.5e-08   34.2   1.5   9.2   9   0   0   9   9   9   9 -
ikeda_06520          -          TPR_1                PF00515.32     9e-63  205.8  48.6   3.4e-08   33.0   0.4   9.2   9   0   0   9   9   9   9 -
ikeda_08490          -          TPR_1                PF00515.32     9e-63  205.8  48.6   3.4e-08   33.0   0.4   9.2   9   0   0   9   9   9   9 -
ut176_07140          -          TPR_1                PF00515.32   1.3e-62  205.3  47.6   1.5e-08   34.2   1.5   9.2   9   0   0   9   9   9   9 -
ta686_12230          -          TPR_1                PF00515.32   1.7e-62  204.9  51.3   2.2e-08   33.6   0.2   9.4   9   0   0   9   9   9   9 -
gilliam_08555        -          TPR_1                PF00515.32   2.4e-62  204.4  28.3     1e-08   34.7   0.3   8.2   8   0   0   8   8   8   8 -
ta686_02570          -          TPR_1                PF00515.32   3.5e-62  203.9  50.1   3.7e-09   36.1   0.7   9.2   9   0   0   9   9   9   9 -
karp_12500           -          TPR_1                PF00515.32   4.8e-62  203.5  48.1   1.2e-07   31.3   0.2   9.2   9   0   0   9   9   9   9 -
kato_09095           -          TPR_1                PF00515.32   5.2e-62  203.4  50.3   1.7e-08   34.0   0.7   9.3   9   0   0   9   9   9   9 -
kato_05700           -          TPR_1                PF00515.32   9.6e-62  202.5  50.5   3.8e-07   29.7   2.8   9.2   9   0   0   9   9   9   9 -
ut176_04865          -          TPR_1                PF00515.32   3.3e-61  200.8  48.8   2.8e-11   42.8   1.4   6.1   6   0   0   6   6   6   6 -
ut76_07585           -          TPR_1                PF00515.32   5.3e-61  200.2  49.8   3.8e-07   29.7   2.8   9.3   9   0   0   9   9   9   9 -
ut176_04095          -          TPR_1                PF00515.32   8.4e-61  199.5  47.5   1.3e-07   31.1   0.6   9.2   9   0   0   9   9   9   9 -
ut176_04890          -          TPR_1                PF00515.32   8.4e-61  199.5  47.5   1.3e-07   31.1   0.6   9.2   9   0   0   9   9   9   9 -
ut176_01165          -          TPR_1                PF00515.32     1e-60  199.3  49.3     1e-07   31.5   0.3   9.2   9   0   0   9   9   9   9 -
gilliam_09370        -          TPR_1                PF00515.32   1.2e-60  199.1  54.7   5.9e-09   35.4   0.3   9.4   9   0   0   9   9   9   8 -
ut76_01425           -          TPR_1                PF00515.32   1.4e-60  198.9  48.0   7.4e-09   35.1   0.3   9.2   9   0   0   9   9   9   9 -
gilliam_02095        -          TPR_1                PF00515.32   1.4e-60  198.8  51.2   3.6e-08   32.9   0.4   9.2   9   0   0   9   9   9   9 -
ut76_06370           -          TPR_1                PF00515.32   1.5e-60  198.8  48.1   1.4e-10   40.6   3.5   7.2   7   0   0   7   7   7   7 -
ut76_03175           -          TPR_1                PF00515.32   2.1e-60  198.3  46.0   1.3e-07   31.2   0.2   9.2   9   0   0   9   9   9   9 -
ut176_00340          -          TPR_1                PF00515.32   2.4e-60  198.1  42.7   2.9e-07   30.1   0.1   9.2   9   0   0   9   9   9   9 -
ut176_02560          -          TPR_1                PF00515.32   2.4e-60  198.1  42.7   2.9e-07   30.1   0.1   9.2   9   0   0   9   9   9   9 -
gilliam_02130        -          TPR_1                PF00515.32   2.7e-60  198.0  67.2   4.7e-08   32.6   3.0   9.2   9   0   0   9   9   9   9 -
gilliam_12410        -          TPR_1                PF00515.32   2.7e-60  198.0  67.2   4.7e-08   32.6   3.0   9.2   9   0   0   9   9   9   9 -
ut176_08915          -          TPR_1                PF00515.32   3.6e-60  197.6  48.9   1.4e-08   34.2   0.4   9.2   9   0   0   9   9   9   9 -
gilliam_07560        -          TPR_1                PF00515.32   5.9e-60  196.9  50.2   3.4e-08   33.0   0.4   9.3   9   0   0   9   9   9   9 -
ta686_09350          -          TPR_1                PF00515.32   6.4e-60  196.8  36.2   1.2e-09   37.6   1.0   8.3   9   0   0   9   9   8   8 -
kato_08470           -          TPR_1                PF00515.32   6.6e-60  196.7  49.7   1.8e-08   33.9   0.5   9.4   9   0   0   9   9   9   9 -
kato_00205           -          TPR_1                PF00515.32   7.3e-60  196.6  47.4   4.5e-08   32.6   0.2   9.2   9   0   0   9   9   9   9 -
ut176_06165          -          TPR_1                PF00515.32   1.1e-59  196.1  47.6     6e-07   29.1   0.0   9.2   9   0   0   9   9   9   9 -
ta686_05305          -          TPR_1                PF00515.32   1.3e-59  195.8  42.1   1.3e-09   37.5   1.0   8.2   8   0   0   8   8   8   8 -
ta686_06215          -          TPR_1                PF00515.32   1.3e-59  195.8  42.1   1.3e-09   37.5   1.0   8.2   8   0   0   8   8   8   8 -
ta686_06520          -          TPR_1                PF00515.32   1.8e-59  195.3  48.8   1.7e-08   34.0   0.3   9.2   9   0   0   9   9   9   9 -
ta686_07845          -          TPR_1                PF00515.32   2.1e-59  195.1  49.8   2.2e-08   33.6   0.5  10.0   9   1   1  10  10  10   9 -
kato_00630           -          TPR_1                PF00515.32   2.6e-59  194.9  49.7   8.7e-09   34.9   0.5   9.5   9   0   0   9   9   9   9 -
kato_00080           -          TPR_1                PF00515.32   2.7e-59  194.8  49.7   8.7e-09   34.9   0.5   9.5   9   0   0   9   9   9   9 -
kato_01750           -          TPR_1                PF00515.32   2.7e-59  194.8  49.7   8.7e-09   34.9   0.5   9.5   9   0   0   9   9   9   9 -
kato_03850           -          TPR_1                PF00515.32   2.7e-59  194.8  49.7   8.7e-09   34.9   0.5   9.5   9   0   0   9   9   9   9 -
kato_05880           -          TPR_1                PF00515.32   2.7e-59  194.8  49.7   8.7e-09   34.9   0.5   9.5   9   0   0   9   9   9   9 -
ta686_07200          -          TPR_1                PF00515.32   2.7e-59  194.8  54.3   4.7e-10   38.9   3.9   7.2   7   0   0   7   7   7   7 -
ut176_03600          -          TPR_1                PF00515.32   3.3e-59  194.5  47.8   1.5e-10   40.5   1.0   7.2   7   0   0   7   7   7   7 -
ut76_01055           -          TPR_1                PF00515.32   5.9e-59  193.7  48.9   3.7e-08   32.9   0.4   9.2   9   0   0   9   9   9   9 -
ut76_05220           -          TPR_1                PF00515.32   5.9e-59  193.7  48.9   3.7e-08   32.9   0.4   9.2   9   0   0   9   9   9   9 -
ut76_07265           -          TPR_1                PF00515.32   5.9e-59  193.7  48.9   3.7e-08   32.9   0.4   9.2   9   0   0   9   9   9   9 -
karp_08400           -          TPR_1                PF00515.32   6.9e-59  193.5  54.8   4.2e-08   32.8   1.1   9.2   9   0   0   9   9   9   9 -
ut76_05985           -          TPR_1                PF00515.32   2.2e-58  191.9  53.9   1.6e-07   30.9   0.6   9.2   9   0   0   9   9   9   9 -
gilliam_05960        -          TPR_1                PF00515.32   2.2e-58  191.9  53.9   1.6e-07   30.9   0.6   9.2   9   0   0   9   9   9   9 -
karp_02395           -          TPR_1                PF00515.32   2.6e-58  191.6  50.1   1.3e-07   31.2   0.2   9.2   9   0   0   9   9   9   9 -
karp_00740           -          TPR_1                PF00515.32   4.4e-58  190.9  57.5   4.3e-11   42.2   2.1   7.3   7   0   0   7   7   7   7 -
gilliam_00785        -          TPR_1                PF00515.32   6.4e-58  190.4  46.4   1.3e-07   31.2   0.2   9.2   9   0   0   9   9   9   9 -
gilliam_07440        -          TPR_1                PF00515.32   1.2e-56  186.5  50.6   2.6e-08   33.4   1.2   9.3   9   0   0   9   9   9   9 -
kato_02825           -          TPR_1                PF00515.32     2e-56  185.7  48.5   2.6e-08   33.4   1.2   9.3   9   0   0   9   9   9   9 -
kato_08160           -          TPR_1                PF00515.32     2e-56  185.7  48.5   2.6e-08   33.4   1.2   9.3   9   0   0   9   9   9   9 -
ta686_08360          -          TPR_1                PF00515.32   3.6e-56  184.9  49.9   1.2e-07   31.3   0.2   9.5   9   0   0   9   9   9   9 -
karp_05285           -          TPR_1                PF00515.32   4.9e-56  184.5  43.4   1.3e-07   31.2   0.3   9.2   9   0   0   9   9   9   9 -
ut76_03295           -          TPR_1                PF00515.32   7.4e-56  183.9  55.0   9.6e-07   28.4   0.9   9.4   9   0   0   9   9   9   9 -
gilliam_04120        -          TPR_1                PF00515.32   1.2e-55  183.2  51.9   2.6e-08   33.4   1.2   9.3   9   0   0   9   9   9   9 -
karp_01005           -          TPR_1                PF00515.32   5.6e-55  181.1  46.6   1.6e-07   30.9   0.9   9.3   9   0   0   9   9   9   9 -
kato_11570           -          TPR_1                PF00515.32   1.9e-54  179.4  46.4   5.3e-09   35.6   0.3   8.2   8   0   0   8   8   8   8 -
ut76_10295           -          TPR_1                PF00515.32   3.5e-54  178.6  60.7   1.5e-08   34.2   0.9   9.8   9   1   0   9   9   9   9 -
gilliam_01900        -          TPR_1                PF00515.32     5e-54  178.1  43.4   3.5e-08   33.0   0.8   7.0   7   0   0   7   7   7   7 -
ikeda_02275          -          TPR_1                PF00515.32   8.2e-54  177.4  53.1   9.6e-07   28.4   0.9   9.3   9   0   0   9   9   9   9 -
kato_06275           -          TPR_1                PF00515.32   1.1e-53  177.1  54.4   1.2e-08   34.4   0.6   9.8   9   1   0   9   9   9   8 -
kato_01395           -          TPR_1                PF00515.32   1.3e-53  176.8  50.5   8.2e-11   41.3   1.2   7.2   7   0   0   7   7   7   7 -
boryong_04115        -          TPR_1                PF00515.32   1.8e-52  173.2  46.8   2.9e-08   33.3   0.4   8.2   8   0   0   8   8   8   7 -
boryong_09500        -          TPR_1                PF00515.32   1.8e-52  173.2  46.8   2.9e-08   33.3   0.4   8.2   8   0   0   8   8   8   7 -
gilliam_10715        -          TPR_1                PF00515.32   1.8e-52  173.2  47.7   7.6e-08   31.9   0.2   9.3   9   0   0   9   9   9   9 -
ta686_08035          -          TPR_1                PF00515.32   1.8e-52  173.2  47.7   7.6e-08   31.9   0.2   9.3   9   0   0   9   9   9   9 -
ut176_01210          -          TPR_1                PF00515.32   4.1e-52  172.0  38.3   8.9e-09   34.9   0.7   7.1   7   0   0   7   7   7   7 -
gilliam_04435        -          TPR_1                PF00515.32   9.6e-52  170.9  50.3   1.6e-07   30.9   0.9   9.3   9   0   0   9   9   9   9 -
gilliam_07915        -          TPR_1                PF00515.32   1.9e-51  169.9  52.8   4.6e-07   29.4   1.0   9.3   9   0   0   9   9   9   9 -
gilliam_13295        -          TPR_1                PF00515.32   1.9e-51  169.9  52.8   4.6e-07   29.4   1.0   9.3   9   0   0   9   9   9   9 -
ikeda_03735          -          TPR_1                PF00515.32   1.2e-50  167.4  52.4   3.2e-11   42.6   3.7   6.2   6   0   0   6   6   6   6 -
karp_07585           -          TPR_1                PF00515.32   7.4e-50  164.9  46.3   8.4e-09   35.0   2.5   7.1   7   0   0   7   7   7   7 -
kato_11620           -          TPR_1                PF00515.32   1.2e-49  164.2  47.2   3.5e-09   36.2   1.5   7.2   7   0   0   7   7   7   7 -
ta686_03430          -          TPR_1                PF00515.32   2.9e-49  163.0  38.2   3.6e-09   36.1   1.9   6.6   7   0   0   7   7   6   6 -
ut176_02655          -          TPR_1                PF00515.32   4.8e-48  159.2  40.8   1.2e-09   37.6   0.3   7.5   8   0   0   8   8   7   7 -
kato_08210           -          TPR_1                PF00515.32     4e-47  156.3  31.2   2.7e-09   36.5   0.7   6.2   6   0   0   6   6   6   6 -
ut76_08560           -          TPR_1                PF00515.32   3.6e-46  153.2  39.4   6.4e-12   44.8   2.1   5.2   5   0   0   5   5   5   5 -
kato_04085           -          TPR_1                PF00515.32   5.2e-45  149.6  30.5   7.8e-08   31.9   0.3   7.1   7   0   0   7   7   7   6 -
karp_08830           -          TPR_1                PF00515.32     9e-44  145.6  30.0   9.7e-10   37.9   0.3   6.3   6   0   0   6   6   6   6 -
boryong_07715        -          TPR_1                PF00515.32   9.4e-42  139.3  28.2   1.7e-08   34.0   0.4   6.2   6   0   0   6   6   6   6 -
gilliam_05220        -          TPR_1                PF00515.32     1e-41  139.1  38.6   6.1e-09   35.4   0.6   6.3   6   0   0   6   6   6   6 -
gilliam_10055        -          TPR_1                PF00515.32     1e-41  139.1  38.6   6.1e-09   35.4   0.6   6.3   6   0   0   6   6   6   6 -
boryong_00645        -          TPR_1                PF00515.32   4.4e-41  137.1  28.5   7.7e-08   31.9   0.2   6.2   6   0   0   6   6   6   6 -
boryong_03590        -          TPR_1                PF00515.32   4.4e-41  137.1  28.5   7.7e-08   31.9   0.2   6.2   6   0   0   6   6   6   6 -
boryong_06290        -          TPR_1                PF00515.32   4.4e-41  137.1  28.5   7.7e-08   31.9   0.2   6.2   6   0   0   6   6   6   6 -
boryong_06685        -          TPR_1                PF00515.32   4.4e-41  137.1  28.5   7.7e-08   31.9   0.2   6.2   6   0   0   6   6   6   6 -
boryong_06850        -          TPR_1                PF00515.32   4.4e-41  137.1  28.5   7.7e-08   31.9   0.2   6.2   6   0   0   6   6   6   6 -
boryong_11735        -          TPR_1                PF00515.32   4.4e-41  137.1  28.5   7.7e-08   31.9   0.2   6.2   6   0   0   6   6   6   6 -
karp_01270           -          TPR_1                PF00515.32   2.8e-38  128.3  31.9     5e-08   32.5   1.4   5.1   5   0   0   5   5   5   5 -
gilliam_13065        -          TPR_1                PF00515.32   7.4e-38  126.9  32.6   2.9e-09   36.4   0.3   6.2   6   0   0   6   6   6   6 -
gilliam_01670        -          TPR_1                PF00515.32     9e-38  126.6  45.8   7.8e-09   35.1   1.5   6.8   6   1   0   6   6   6   6 -
gilliam_04335        -          TPR_1                PF00515.32   9.4e-38  126.6  22.2   6.4e-08   32.2   0.1   5.3   5   0   0   5   5   5   5 -
gilliam_13415        -          TPR_1                PF00515.32   9.4e-38  126.6  22.2   6.4e-08   32.2   0.1   5.3   5   0   0   5   5   5   5 -
boryong_02940        -          TPR_1                PF00515.32   5.3e-34  114.7  30.8     5e-09   35.7   0.6   5.3   5   0   0   5   5   5   5 -
kato_04950           -          TPR_1                PF00515.32   4.2e-32  108.7  18.5     1e-07   31.5   0.4   4.1   4   0   0   4   4   4   4 -
kato_08970           -          TPR_1                PF00515.32   4.2e-32  108.7  18.5     1e-07   31.5   0.4   4.1   4   0   0   4   4   4   4 -
ut76_04655           -          TPR_1                PF00515.32   7.6e-30  101.6  15.0   2.4e-11   43.0   2.6   3.4   3   0   0   3   3   3   3 -
gilliam_01675        -          TPR_1                PF00515.32   7.6e-30  101.6  24.9   8.1e-11   41.3   3.4   4.4   4   1   0   4   4   4   3 -
ut176_02385          -          TPR_1                PF00515.32     1e-27   94.8  22.8   8.8e-09   34.9   1.8   4.4   5   0   0   5   5   4   4 -
gilliam_04030        -          TPR_1                PF00515.32   3.9e-27   93.0  18.7   5.6e-09   35.5   1.1   4.2   4   0   0   4   4   4   3 -
karp_06025           -          TPR_1                PF00515.32   2.1e-25   87.5  12.7   4.9e-09   35.7   0.8   3.1   3   0   0   3   3   3   3 -
karp_04295           -          TPR_1                PF00515.32     3e-25   87.0  14.1   1.1e-07   31.5   0.7   4.9   5   0   0   5   5   5   4 -
karp_05665           -          TPR_1                PF00515.32     2e-24   84.4   9.1   6.8e-08   32.1   0.1   3.5   3   0   0   3   3   3   3 -
ikeda_09215          -          TPR_1                PF00515.32   5.1e-23   80.0  13.8   1.2e-07   31.3   1.7   3.1   3   0   0   3   3   3   3 -
