locus_tag	gene	product
kato_08130	NA	SycD/LcrH family type III secretion system chaperone
kato_08160	NA	TPR repeat-containing protein 08
kato_08205	NA	Tetratricopeptide repeat protein
kato_08210	NA	TPR repeat-containing protein 08
kato_08440	NA	SycD/LcrH family type III secretion system chaperone
kato_08470	NA	TPR repeat-containing protein 08
kato_08500	NA	SycD/LcrH family type III secretion system chaperone
kato_08970	NA	TPR repeat-containing protein 08
kato_09095	NA	Tetratricopeptide repeat family protein
kato_10150	traG	conjugal transfer protein TraG
kato_10180	pilW	type IV pilus biogenesis/stability protein PilW
kato_10250	NA	SycD/LcrH family type III secretion system chaperone
kato_10885	NA	TPR repeat-containing protein 08
kato_11325	NA	TPR repeat-containing protein 08
kato_11570	NA	TPR repeat-containing protein 08
kato_11620	NA	TPR repeat-containing protein 03
kato_11995	tPR	Tetratricopeptide (TPR) repeat
ta686_00215	NA	hypothetical protein
ta686_01990	bamD	outer membrane protein assembly factor BamD
ta686_02040	NA	hypothetical protein
ta686_02130	NA	hypothetical protein
ta686_02410	NA	hypothetical protein
ta686_02570	NA	hypothetical protein
ta686_03430	NA	hypothetical protein
ta686_05190	NA	hypothetical protein
ta686_05220	traG	conjugal transfer protein TraG
ta686_05305	NA	hypothetical protein
ta686_06215	NA	hypothetical protein
ta686_06495	NA	hypothetical protein
ta686_06520	NA	hypothetical protein
ta686_07200	NA	hypothetical protein
ta686_07510	NA	hypothetical protein
ta686_07620	NA	hypothetical protein
ta686_07845	NA	hypothetical protein
ta686_08005	NA	SycD/LcrH family type III secretion system chaperone
ta686_08035	NA	TPR repeat-containing protein 08
ta686_08325	NA	hypothetical protein
ta686_08360	NA	Tetratricopeptide repeat protein
ta686_09315	traG	conjugal transfer protein TraG
ta686_09350	NA	hypothetical protein
ta686_09355	NA	TPR repeat-containing protein 08
ta686_11120	NA	hypothetical protein
ta686_11130	traG	conjugal transfer protein TraG
ta686_12230	NA	hypothetical protein
ta686_12460	NA	hypothetical protein
ta686_12490	NA	hypothetical protein
ut176_00340	NA	TPR repeat-containing protein 08
ut176_00365	NA	SycD/LcrH family type III secretion system chaperone
ut176_01130	pilW	type IV pilus biogenesis/stability protein PilW
ut176_01165	NA	TPR repeat-containing protein 08
ut176_01210	NA	SycD/LcrH family type III secretion system chaperone
ut176_01780	NA	TPR repeat-containing protein 08
ut176_02385	NA	Tetratricopeptide repeat family protein
ut176_02390	NA	TPR repeat-containing protein 08
ut176_02445	pilW	type IV pilus biogenesis/stability protein PilW
ut176_02560	NA	TPR repeat-containing protein 08
ut176_02655	NA	TPR repeat-containing protein 08
ut176_03600	NA	SycD/LcrH family type III secretion system chaperone
ut176_04095	NA	Tetratricopeptide repeat family protein
ut176_04380	NA	SycD/LcrH family type III secretion system chaperone
ut176_04860	NA	SycD/LcrH family type III secretion system chaperone
ut176_04865	NA	TPR repeat-containing protein 03
ut176_04890	NA	Tetratricopeptide repeat family protein
ut176_05280	NA	SycD/LcrH family type III secretion system chaperone
ut176_05285	NA	SycD/LcrH family type III secretion system chaperone
ut176_06165	NA	TPR repeat-containing protein 08
ut176_07140	NA	TPR repeat-containing protein 03
ut176_07345	NA	SycD/LcrH family type III secretion system chaperone
ut176_07715	bamD	outer membrane protein assembly factor BamD
ut176_08005	NA	TPR repeat-containing protein 03
ut176_08060	pilW	type IV pilus biogenesis/stability protein PilW
ut176_08265	tPR	Tetratricopeptide (TPR) repeat
ut176_08880	NA	SycD/LcrH family type III secretion system chaperone
ut176_08915	NA	Type III secretion low calcium response chaperone LcrH/SycD
ut176_09840	NA	SycD/LcrH family type III secretion system chaperone
ut176_09885	NA	SycD/LcrH family type III secretion system chaperone
ut176_10040	NA	TPR repeat-containing protein 03
ut176_10155	NA	TPR repeat-containing protein 08
ut76_00890	NA	SycD/LcrH family type III secretion system chaperone
ut76_01055	NA	TPR repeat-containing protein 08
ut76_01270	pilW	type IV pilus biogenesis/stability protein PilW
ut76_01395	pilW	type IV pilus biogenesis/stability protein PilW
ut76_01425	NA	TPR repeat-containing protein 08
ut76_01455	NA	SycD/LcrH family type III secretion system chaperone
ut76_01635	NA	TPR repeat-containing protein 08
ut76_03145	pilW	type IV pilus biogenesis/stability protein PilW
ut76_03175	NA	TPR repeat-containing protein 08
ut76_03295	NA	TPR repeat-containing protein 01_07
ut76_04010	NA	TPR repeat-containing protein 08
ut76_04655	NA	TPR repeat-containing protein 03
ut76_04775	bamD	outer membrane protein assembly factor BamD
ut76_05220	NA	TPR repeat-containing protein 08
ut76_05650	tPR	Tetratricopeptide (TPR) repeat
ut76_05985	NA	TPR repeat-containing protein 08
ut76_06340	traG	conjugal transfer protein TraG
ut76_06370	NA	SycD/LcrH family type III secretion system chaperone
ut76_07265	NA	TPR repeat-containing protein 08
ut76_07585	NA	Tetratricopeptide repeat family protein
ut76_07625	NA	Tetratricopeptide repeat protein
ut76_08560	NA	TPR repeat-containing protein 03
ut76_09590	NA	TPR repeat-containing protein 08
ut76_10160	NA	SycD/LcrH family type III secretion system chaperone
ut76_10295	NA	TPR repeat-containing protein 08
ut76_10340	pilW	type IV pilus biogenesis/stability protein PilW
ut76_11090	traG	conjugal transfer protein TraG
ut76_11135	pilW	type IV pilus biogenesis/stability protein PilW
