locus_tag	gene	product
ikeda_02785	NA	Ankyrin repeat-containing protein 01_02
ikeda_03440	NA	Ankyrin repeat protein with 8 ankyrin repeats
ikeda_04285	aNKYR	Ankyrin repeat-containing protein 01_02
ikeda_04915	aNKYR	Ankyrin repeat
ikeda_05020	aNKYR	Ankyrin repeat
ikeda_05635	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ikeda_05840	aNKYR	Ankyrin repeat
ikeda_05910	aNKYR	Ankyrin repeat
ikeda_06245	NA	Ankyrin repeat-containing protein 09
ikeda_06375	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ikeda_06420	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ikeda_06580	aNKYR	Ankyrin repeat-containing protein 01_02
ikeda_07280	NA	Ankyrin repeat-containing protein 16
ikeda_07430	aNKYR	Ankyrin repeat protein with 8 ankyrin repeats
ikeda_08305	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ikeda_08370	aNKYR	Ankyrin repeat
ikeda_08450	aNKYR	Ankyrin repeat
ikeda_08545	aNKYR	Ankyrin repeat-containing protein 01_02
ikeda_08615	aNKYR	Ankyrin repeat
ikeda_08685	NA	Ankyrin repeat-containing protein 19
ikeda_08965	aNKYR	Ankyrin repeat protein with 8 ankyrin repeats
ikeda_09630	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ikeda_09810	NA	Ankyrin repeat protein with 5 ankyrin repeats
ikeda_10510	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ikeda_10835	aNKYR	Ankyrin repeat-containing protein 01_02
ikeda_10855	aNKYR	Ankyrin repeat protein with 6 ankyrin repeats
ikeda_10955	aNKYR	Ankyrin repeat
karp_00165	aNKYR	Ankyrin repeat
karp_00275	NA	Ankyrin repeat protein with 5 ankyrin repeats
karp_00310	aNKYR	Ankyrin repeat
karp_00390	NA	Ankyrin repeat-containing protein
karp_00550	aNKYR	Ankyrin repeat
karp_00700	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_00795	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_00965	NA	Ankyrin repeat-containing protein 09
karp_00975	NA	Ankyrin repeat-containing protein 16
karp_01295	NA	Ankyrin repeat-containing protein
karp_01985	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_02025	NA	PRANC domain-containing protein
karp_02145	NA	Ankyrin repeat-containing protein 19
karp_02480	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_02595	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_02720	NA	Ankyrin repeat-containing protein 16
karp_03345	NA	Ankyrin repeat-containing protein 09
karp_03435	aNKYR	Ankyrin repeat protein with 8 ankyrin repeats
karp_03745	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_03860	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_04320	NA	Ankyrin repeat-containing protein 09
karp_04800	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_04895	aNKYR	Ankyrin repeat
karp_05015	NA	Ankyrin repeat-containing protein 16
karp_05035	NA	Ankyrin repeat-containing protein
karp_05365	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_05630	NA	Ankyrin repeat family protein
karp_05965	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_05990	aNKYR	Ankyrin repeat
karp_06480	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_06950	NA	Ankyrin repeat-containing protein
karp_07110	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_07245	NA	Ankyrin repeat-containing protein 16
karp_07425	aNKYR	Ankyrin repeat
karp_07655	NA	Ankyrin repeat protein with 8 ankyrin repeats
karp_07705	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_07975	NA	Ankyrin repeat-containing protein 09
karp_08120	aNKYR	Ankyrin repeat
karp_08230	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_08480	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_08515	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_08625	NA	Ankyrin repeat-containing protein 09
karp_08740	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_09025	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_09070	NA	Ankyrin repeat-containing protein 09
karp_09135	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_09205	NA	Ankyrin repeat-containing protein
karp_09650	NA	Ankyrin repeat protein with 14 ankyrin repeats
karp_09760	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_10105	NA	Ankyrin repeat-containing protein 16
karp_10185	NA	Ankyrin repeat-containing protein 14
karp_10225	aNKYR	Ankyrin repeat
karp_10300	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_10840	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_11350	NA	Ankyrin repeat protein with 14 ankyrin repeats
karp_11480	NA	Ankyrin repeat-containing protein 09
karp_11630	aNKYR	Ankyrin repeat
karp_11735	NA	Ankyrin repeat-containing protein 16
karp_11860	aNKYR	Ankyrin repeat
karp_12290	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_12605	aNKYR	Ankyrin repeat
karp_12790	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_13090	NA	Ankyrin repeat-containing protein
kato_00145	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
kato_00470	NA	Ankyrin repeat-containing protein 19
kato_00525	aNKYR	Ankyrin repeat
kato_00725	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
kato_01555	aNKYR	Ankyrin repeat protein with 8 ankyrin repeats
kato_02260	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
kato_02645	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
kato_02730	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
kato_02970	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
kato_03875	aNKYR	Ankyrin repeat
kato_03925	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
kato_03970	aNKYR	Ankyrin repeat
kato_04020	aNKYR	Ankyrin repeat
kato_04345	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
kato_05555	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
kato_05725	NA	Ankyrin repeat-containing protein 16
kato_05745	NA	Ankyrin repeat-containing protein 09
kato_06005	NA	Ankyrin
kato_06115	aNKYR	Ankyrin repeat
kato_06175	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
kato_06375	aNKYR	Ankyrin repeat
kato_06515	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
kato_06635	NA	Ankyrin repeat family protein
kato_08275	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
kato_08795	NA	Ankyrin repeat protein with 8 ankyrin repeats
kato_09005	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
kato_09550	aNKYR	Ankyrin repeat-containing protein 01_02
kato_10135	NA	Ankyrin repeat-containing protein 13
kato_10310	aNKYR	Ankyrin repeat
kato_10775	aNKYR	Ankyrin repeat
kato_10970	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
kato_11305	NA	Ankyrin repeat-containing protein 09
kato_11425	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
kato_11455	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
kato_11515	NA	Ankyrin repeat-containing protein 09
kato_11645	NA	Ankyrin repeat-containing protein
kato_11715	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
kato_12050	NA	Ankyrin repeat-containing protein 16
kato_12235	aNKYR	Ankyrin repeat protein with 8 ankyrin repeats
ta686_00555	NA	hypothetical protein
ta686_00720	NA	hypothetical protein
ta686_00805	NA	ankyrin repeat domain-containing protein
ta686_00925	NA	Ankyrin repeat family protein
ta686_01000	NA	Ankyrin repeat protein with 5 ankyrin repeats
ta686_01205	NA	Ankyrin repeat protein with 8 ankyrin repeats
ta686_01590	NA	Ankyrin repeat-containing protein
ta686_02175	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ta686_02330	aNKYR	Ankyrin repeat
ta686_02435	NA	Ankyrin repeat-containing protein 16
ta686_02465	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ta686_02845	NA	Ankyrin repeat protein with 5 ankyrin repeats
ta686_03020	aNKYR	Ankyrin repeat
ta686_03130	NA	Ankyrin repeat protein with 5 ankyrin repeats
ta686_03355	NA	Ankyrin repeat protein with 5 ankyrin repeats
ta686_04420	NA	Ankyrin repeat protein with 5 ankyrin repeats
ta686_04485	NA	Ankyrin repeat-containing protein 14
ta686_04560	NA	ankyrin repeat domain-containing protein
ta686_04685	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ta686_05160	NA	Ankyrin repeat-containing protein 01_02
ta686_05375	NA	Ankyrin repeat protein with 5 ankyrin repeats
ta686_05400	NA	hypothetical protein
ta686_05900	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ta686_06145	NA	Ankyrin repeat protein with 5 ankyrin repeats
ta686_06395	NA	Ankyrin repeat protein with 5 ankyrin repeats
ta686_06590	aNKYR	Ankyrin repeat
ta686_07175	NA	Ankyrin repeat-containing protein 01_02
ta686_07355	NA	Ankyrin repeat-containing protein 16
ta686_07370	NA	Ankyrin repeat-containing protein 09
ta686_07575	NA	Ankyrin repeat protein with 5 ankyrin repeats
ta686_07815	NA	Ankyrin repeat-containing protein 16
ta686_08115	NA	Ankyrin
ta686_08140	NA	Ankyrin repeat-containing protein 09
ta686_09280	NA	Ankyrin repeat family protein
ta686_09290	NA	Ankyrin repeat domain-containing protein
ta686_09390	NA	Ankyrin repeat protein with 5 ankyrin repeats
ta686_09595	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ta686_09985	NA	hypothetical protein
ta686_10030	NA	hypothetical protein
ta686_10900	NA	Ankyrin
ta686_11235	NA	Ankyrin repeat protein with 5 ankyrin repeats
ta686_11420	NA	Ankyrin repeat domain-containing protein
ta686_12310	NA	Ankyrin repeat family protein
ta686_12315	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ta686_12435	NA	Ankyrin repeat-containing protein 01_02
ta686_12735	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ta686_12920	NA	Ankyrin repeat protein with 8 ankyrin repeats
ut176_00295	NA	Ankyrin repeat-containing protein
ut176_00315	NA	Ankyrin repeat-containing protein 16
ut176_00435	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut176_00910	aNKYR	Ankyrin repeat
ut176_01270	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut176_01660	NA	Ankyrin repeat family protein
ut176_01665	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut176_01850	NA	Ankyrin
ut176_02345	aNKYR	Ankyrin repeat
ut176_02495	NA	Ankyrin repeat-containing protein 09
ut176_03020	NA	Ankyrin repeat-containing protein
ut176_03490	aNKYR	Ankyrin repeat
ut176_04200	aNKYR	Ankyrin repeat
ut176_04295	NA	Ankyrin repeat family protein
ut176_04420	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut176_04925	NA	Ankyrin repeat protein with 5 ankyrin repeats
ut176_04975	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut176_05145	aNKYR	Ankyrin repeat
ut176_05230	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut176_06000	aNKYR	Ankyrin repeat
ut176_06075	aNKYR	Ankyrin repeat
ut176_06130	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut176_06135	NA	Ankyrin
ut176_06290	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut176_06455	NA	Ankyrin repeat family protein
ut176_06875	aNKYR	Ankyrin repeat
ut176_07170	NA	Ankyrin repeat-containing protein 16
ut176_07325	NA	Ankyrin repeat-containing protein 13
ut176_07970	NA	Ankyrin repeat-containing protein 16
ut176_08100	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut176_08825	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut176_09095	NA	Ankyrin repeat-containing protein
ut176_09215	NA	Ankyrin repeat-containing protein 09
ut176_09615	NA	Ankyrin
ut176_09630	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut176_09675	aNKYR	Ankyrin repeat
ut176_09910	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut176_10195	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut176_10265	aNKYR	Ankyrin repeat protein with 8 ankyrin repeats
ut176_10305	NA	Ankyrin repeat-containing protein
ut176_10625	aNKYR	Ankyrin repeat protein with 8 ankyrin repeats
ut76_00190	aNKYR	Ankyrin repeat
ut76_00255	NA	PRANC domain-containing protein
ut76_00415	NA	Ankyrin repeat-containing protein 19
ut76_00835	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut76_00965	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut76_01030	aNKYR	Ankyrin repeat
ut76_01100	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut76_01185	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut76_01510	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut76_01930	NA	Ankyrin repeat-containing protein 09
ut76_01985	aNKYR	Ankyrin repeat-containing protein 01_02
ut76_03100	aNKYR	Ankyrin repeat protein with 8 ankyrin repeats
ut76_03245	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut76_03270	NA	Ankyrin repeat-containing protein 16
ut76_03380	NA	Ankyrin
ut76_03515	NA	Ankyrin
ut76_03575	NA	Ankyrin repeat-containing protein 13
ut76_03655	NA	Ankyrin repeat-containing protein
ut76_04030	NA	Ankyrin repeat-containing protein 09
ut76_04640	NA	PRANC domain-containing protein
ut76_04760	aNKYR	Ankyrin repeat
ut76_05125	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut76_05540	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut76_05735	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut76_05895	NA	Ankyrin repeat family protein
ut76_06235	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut76_06290	aNKYR	Ankyrin repeat
ut76_06505	NA	Ankyrin repeat-containing protein 09
ut76_06690	NA	Ankyrin repeat-containing protein 16
ut76_06965	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut76_07170	aNKYR	Ankyrin repeat
ut76_07245	aNKYR	Ankyrin repeat
ut76_07705	aNKYR	Ankyrin repeat
ut76_07890	NA	Ankyrin repeat protein with 8 ankyrin repeats
ut76_08835	NA	Ankyrin repeat-containing protein 14
ut76_08890	aNKYR	Ankyrin repeat
ut76_09130	NA	Ankyrin repeat-containing protein
ut76_09155	NA	Ankyrin repeat domain-containing protein
ut76_09185	NA	Ankyrin repeat family protein
ut76_09615	NA	Ankyrin repeat domain-containing protein
ut76_09645	NA	Ankyrin repeat-containing protein 01_02
ut76_10395	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ut76_11265	NA	Ankyrin repeat-containing protein
ut76_11430	aNKYR	Ankyrin repeat protein with 8 ankyrin repeats
